"","(Intercept)","beta_1","alpha_1"
"202",0.20523165705448,0.0375472810954503,0.125357266926517
"203",0.126361165643489,0.0294311294537082,0.0615188329867284
"204",0.107389239360558,0.0360424123761498,0.071413205850117
"205",0.0946350810024078,0.0342551817542254,0.0698848917573895
"206",0.100466658512486,0.0351983293447636,0.068303970722072
"207",0.0962571120030953,0.0284593168346005,0.052976155494895
"208",0.138318050927972,0.0370416313482997,0.0882247982009761
"209",0.133238768313297,0.0350610848579757,0.0897119270940994
"210",0.121450870922639,0.0305107333338089,0.0605920494403993
"211",0.137549317919908,0.0367185318264252,0.0874607416750995
"212",0.178120601483717,0.0370976571167724,0.103659298411415
"213",0.114626638494424,0.0352214136237023,0.0745465768676769
"214",0.121152363908369,0.03007854083195,0.0597762659726024
"215",0.173243824402315,0.0364644850967498,0.103322127428357
"216",0.10883930093484,0.0289655646715291,0.0568068585110956
"217",0.122555126407648,0.035193520907342,0.0776186410634286
"218",0.150402325942626,0.0362009257178015,0.0995239019226024
"219",0.123206180429847,0.0288801432136498,0.062262600799553
"220",0.111092057323237,0.029073375162381,0.0550041247491241
"221",0.117619042202312,0.0354310845552278,0.0759866908979447
"222",0.11954273091965,0.0298585836671315,0.0572705371244706
"223",0.098287315008862,0.0341282690586687,0.0683378165579563
"224",0.170451349252804,0.0328518106868554,0.0862281331804357
"225",0.0887560424148824,0.0278879335897241,0.051418848490987
"226",0.0888145949881913,0.0294209499427841,0.0519801228694171
"227",0.133893354493844,0.0373586749699313,0.0928997136699606
"228",0.146620072193914,0.0310414781276557,0.0732887122258299
"229",0.113846690034406,0.0285867497510585,0.0541926170599112
"230",0.121862874753336,0.0306649812578905,0.0625001879527536
"231",0.107502788767362,0.0297744634164503,0.0604331584675662
"232",0.0799591879175816,0.0355351802167245,0.0609548299845728
"233",0.130119451301767,0.0354147618672222,0.0817649900007179
"234",0.123352607284651,0.0367461256724006,0.0801624973212986
"235",0.100225538722525,0.0287238274007513,0.0543121871550964
"236",0.139900356558554,0.0306228806487761,0.0622191084743181
"237",0.117088861212095,0.0295403940156723,0.0598937627009455
"238",0.105359646894688,0.0360244791077188,0.0705135588301158
"239",0.104314461204646,0.0294318375626843,0.0554133582971051
"240",0.0922679750359262,0.0320457377914176,0.0659753922726073
"241",0.125596556270074,0.0292556443723045,0.0646841032486388
"242",0.126477234129052,0.0352180719489513,0.0853760727197017
"243",0.107802219130497,0.0282864314674661,0.0576424693396202
"244",0.114895872714339,0.0351877835463308,0.0741253158368438
"245",0.13623609812397,0.0366148983700282,0.0844646400486223
"246",0.152821366375829,0.0317606804960423,0.0783474258866711
"247",0.140738889010612,0.0362173328544864,0.0915021162215731
"248",0.146639499486277,0.036258793311394,0.0897860624424894
"249",0.137669109000809,0.0295172659187504,0.0658855551436178
"250",0.129084013393921,0.0353885013294298,0.0861880373401534
"251",0.118317414964845,0.035009660208926,0.07731580683591
"252",0.128537303907731,0.0361270500377796,0.0806068466121978
"253",0.114194943090159,0.0293213094219088,0.0626338687826494
"254",0.166356645131073,0.0368834787123614,0.100091735217235
"255",0.141224105860144,0.036320419726684,0.0917137683266957
"256",0.170201544048238,0.0358846400236361,0.0982204022291051
